estate,feature_set,method,n_clusters,ari,ami,silhouette_sample,max_cluster_size,max_cluster_unhealthy_rate,max_cluster_enrichment,unhealthy_in_max_cluster,total_unhealthy,bic,aic
Palong_Basemap,all14,gmm_diag,8,-0.001878184137234185,0.005562542490794714,,284,0.14084507042253522,1.5288732394366198,40,200,59473.78387471155,58161.02400246967
Palong_Basemap,extended_indices,kmeans,2,0.003510140315469822,-0.00023786968663570056,0.31270199844209046,818,0.097799511002445,1.0616136919315404,80,200,,
Palong_Basemap,extended_indices,kmeans,3,-0.012174314937009998,0.004876124122643215,0.35527325278076644,733,0.10231923601637108,1.110675306957708,75,200,,
Palong_Basemap,extended_indices,kmeans,4,-0.01009516029566353,0.0038837473543038756,0.2855564424216688,927,0.10355987055016182,1.1241423948220066,96,200,,
Palong_Basemap,extended_indices,kmeans,5,-0.006530578833289241,0.004702803431105077,0.2472811969535316,616,0.11525974025974026,1.2511444805194805,71,200,,
Palong_Basemap,extended_indices,kmeans,6,-0.006614914852447913,0.0043564672815690824,0.24807359117833783,591,0.12013536379018612,1.3040693739424705,71,200,,
Palong_Basemap,extended_indices,kmeans,7,-0.00512614668775927,0.005300873146009865,0.24225350877289717,530,0.11886792452830189,1.290311320754717,63,200,,
Palong_Basemap,extended_indices,kmeans,8,-0.000589310126188853,0.0047524688986290585,0.2450015468172486,134,0.13432835820895522,1.4581343283582089,18,200,,
Palong_Basemap,extended_indices,kmeans,9,-0.0012487180496897502,0.0028441581153484286,0.24622795400684094,129,0.13953488372093023,1.5146511627906978,18,200,,
Palong_Basemap,extended_indices,kmeans,10,-0.00237015292473501,0.004880265680159549,0.23614496606746457,126,0.1349206349206349,1.464563492063492,17,200,,
Palong_Basemap,extended_indices,kmeans,11,-0.0035202186049284297,0.004607815918396579,0.2332216485362289,88,0.11363636363636363,1.2335227272727274,10,200,,
Palong_Basemap,extended_indices,kmeans,12,-0.0036063027874445332,0.0035585533615135004,0.24079316791754393,337,0.11275964391691394,1.224005934718101,38,200,,
Palong_Basemap,extended_indices,gmm_diag,2,-0.046355931850648985,0.007389767688043704,,1801,0.10161021654636314,1.102978900610772,183,200,53051.894031303316,52818.893361338305
Palong_Basemap,extended_indices,gmm_diag,3,-0.010562931359991926,0.003168202576395153,,777,0.10038610038610038,1.0896911196911196,78,200,45438.88671403414,45086.54423750169
Palong_Basemap,extended_indices,gmm_diag,4,-0.006505153134718435,0.0025841165351409047,,676,0.10502958579881656,1.1400961538461538,71,200,41579.63851725671,41107.95423415681
Palong_Basemap,extended_indices,gmm_diag,5,-0.003225781882006586,0.0028710829123806897,,498,0.11244979919678715,1.2206425702811246,56,200,38986.46176512521,38395.43567545787
Palong_Basemap,extended_indices,gmm_diag,6,-0.004666015220058135,0.0023085175375734735,,509,0.11198428290766209,1.215589390962672,57,200,37208.16110333828,36497.793207103496
Palong_Basemap,extended_indices,gmm_diag,7,-0.0022573970455688082,0.0016545858094533703,,401,0.10972568578553615,1.191072319201995,44,200,35453.459069698576,34623.74936689634
Palong_Basemap,extended_indices,gmm_diag,8,-0.002388254714405221,0.0029015270583418406,,217,0.1152073732718894,1.2505760368663594,25,200,34646.13784921645,33697.08633984678
Palong_Basemap,local14,kmeans,2,0.004546619091279897,0.0002686610657526729,0.15118923270423754,897,0.10144927536231885,1.1012318840579711,91,200,,
Palong_Basemap,local14,kmeans,3,0.005557553287986989,0.0013239236261600148,0.1645103357078364,853,0.10550996483001172,1.1453106682297773,90,200,,
Palong_Basemap,local14,kmeans,4,0.0047252208423937386,0.001695603685503573,0.12286235424367979,611,0.10638297872340426,1.1547872340425533,65,200,,
Palong_Basemap,local14,kmeans,5,0.004602619403848957,0.0010460590667050885,0.11000561933516202,381,0.11023622047244094,1.1966141732283464,42,200,,
Palong_Basemap,local14,kmeans,6,0.003138400763449465,0.001034685904779922,0.08884020961181187,347,0.11527377521613832,1.2512968299711815,40,200,,
Palong_Basemap,local14,kmeans,7,-0.000134485455343129,0.0011517435954845848,0.09501933780119982,507,0.11242603550295859,1.2203846153846154,57,200,,
Palong_Basemap,local14,kmeans,8,-0.0008778261020691842,0.0006095325460203002,0.09062757423595216,159,0.1069182389937107,1.1605974842767297,17,200,,
Palong_Basemap,local14,kmeans,9,-0.00044278182952408283,0.000771585004924665,0.091337690609985,145,0.11724137931034483,1.2726551724137931,17,200,,
Palong_Basemap,local14,kmeans,10,0.00017348467744728065,0.0006917863096980532,0.09520326878832847,199,0.12060301507537688,1.309145728643216,24,200,,
Palong_Basemap,local14,kmeans,11,0.00029244966328425463,-0.0004545100893863433,0.09368111279601743,131,0.11450381679389313,1.24293893129771,15,200,,
Palong_Basemap,local14,kmeans,12,0.001164527721877855,-0.0002678300097840039,0.09513076341656473,110,0.12727272727272726,1.3815454545454544,14,200,,
Palong_Basemap,local14,gmm_diag,2,0.00857311779125691,-0.0003454618198069291,,408,0.10049019607843138,1.0908210784313725,41,200,75496.21937217857,75172.29161149552
Palong_Basemap,local14,gmm_diag,3,0.0038144201321890776,2.0452359862733667e-05,,632,0.1060126582278481,1.1507674050632912,67,200,72326.96299531315,71838.22988270361
Palong_Basemap,local14,gmm_diag,4,0.0006872170339372038,0.003009766398296834,,611,0.12438625204582651,1.3502127659574468,76,200,70122.82093103582,69469.28246649982
Palong_Basemap,local14,gmm_diag,5,-0.000723331795597861,0.0020400780946179015,,538,0.11895910780669144,1.2913011152416356,64,200,69043.88611524634,68225.54229878387
Palong_Basemap,local14,gmm_diag,6,7.303560405590001e-05,0.001569891966609887,,319,0.12539184952978055,1.361128526645768,40,200,67911.05593301987,66927.90676463093
Palong_Basemap,local14,gmm_diag,7,0.0014063333514552003,0.0023773047540020624,,234,0.12393162393162394,1.3452777777777778,29,200,67102.19190372649,65954.23738341108
